Strike,Type,Last,Bid,Ask,Volume,Open Int,IV,Delta,Gamma,Theta,Vega,Underlying,Open,High,Low,Change,Premium,IV Skew
59.50P,Put,0.01,0.0,0.01,319.0,9872.0,0.00%,0,0,0,0,,0.02,0.02,0.01,-0.01,10,0.00%
60.00C,Call,4.53,4.18,4.25,,4699.0,0.00%,1,0,0,0,,0.0,4.53,4.53,1.2,4530,0.00%
60.00P,Put,0.01,0.0,0.01,1892.0,25508.0,0.00%,0,0,0,0,,0.03,0.04,0.01,-0.02,10,0.00%
60.50C,Call,3.98,3.68,3.75,2.0,214.0,0.00%,1,0,0,0,,3.74,4.03,3.74,1.14,3980,0.00%
60.50P,Put,0.01,0.0,0.01,997.0,3273.0,0.00%,0,0,0,0,,0.03,0.03,0.01,-0.03,10,0.00%
61.00C,Call,3.1,3.19,3.25,36.0,1448.0,0.00%,1,0,0,0,,3.1,3.1,3.1,-0.43,3100,0.00%
61.00P,Put,0.01,0.0,0.01,65.0,7706.0,0.00%,0,0,0,0,,0.01,0.02,0.01,0.0,10,0.00%
61.50C,Call,2.61,2.69,2.75,2.0,660.0,0.00%,1,0,0,0,,2.61,3.04,2.61,0.73,2610,0.00%
61.50P,Put,0.01,0.0,0.01,9.0,3324.0,0.00%,0,0,0,0,,0.01,0.01,0.01,-0.01,10,0.00%
62.00C,Call,2.7,2.19,2.25,274.0,3158.0,0.00%,1,0,0,0,,1.55,2.76,1.12,1.29,2700,0.00%
62.00P,Put,0.02,0.01,0.02,165.0,7840.0,0.00%,0,0,0,0,,0.02,0.02,0.01,0.0,20,0.00%
62.50C,Call,1.81,1.69,1.76,82.0,3306.0,0.00%,1,0,0,0,,1.95,2.0,1.46,-0.24,1810,0.00%
62.50P,Put,0.03,0.01,0.02,367.0,3594.0,0.00%,0,0,0,0,,0.03,0.04,0.01,0.0,30,0.00%
63.00C,Call,1.26,1.21,1.27,85.0,10697.0,0.00%,1,0,0,0,,1.54,1.54,1.15,-0.31,1260,0.00%
63.00P,Put,0.03,0.03,0.04,1316.0,9386.0,0.00%,0,0,0,0,,0.06,0.09,0.02,-0.02,30,0.00%
63.50C,Call,0.83,0.76,0.81,377.0,3056.0,0.00%,1,0,0,0,,1.2,1.2,0.55,-0.28,830,0.00%
63.50P,Put,0.07,0.07,0.09,1626.0,3387.0,0.00%,0,0,0,0,,0.08,0.21,0.05,-0.02,70,0.00%
64.00C,Call,0.42,0.4,0.44,678.0,7891.0,0.00%,1,0,0,0,,0.73,0.78,0.29,-0.29,420,0.00%
64.00P,Put,0.18,0.19,0.22,1764.0,4610.0,0.00%,0,0,0,0,,0.16,0.43,0.15,-0.01,180,0.00%
64.50C,Call,0.21,0.17,0.2,1569.0,3095.0,0.00%,0,0,0,0,,0.42,0.42,0.13,-0.19,210,0.00%
64.50P,Put,0.44,0.45,0.48,708.0,2261.0,0.00%,-1,0,0,0,,0.38,0.79,0.33,0.06,440,0.00%
65.00C,Call,0.08,0.07,0.08,1889.0,12322.0,0.00%,0,0,0,0,,0.18,0.22,0.06,-0.11,80,0.00%
65.00P,Put,0.87,0.83,0.89,278.0,10889.0,0.00%,-1,0,0,0,,0.67,1.21,0.58,0.2,870,0.00%
65.50C,Call,0.03,0.03,0.04,988.0,3265.0,0.00%,0,0,0,0,,0.09,0.1,0.02,-0.06,30,0.00%
65.50P,Put,1.61,1.29,1.35,7.0,746.0,0.00%,-1,0,0,0,,1.14,1.61,1.14,0.54,1610,0.00%
66.00C,Call,0.02,0.01,0.02,777.0,7035.0,0.00%,0,0,0,0,,0.04,0.05,0.01,-0.03,20,0.00%
66.00P,Put,1.86,1.77,1.84,2.0,2895.0,0.00%,-1,0,0,0,,1.52,1.86,1.52,0.33,1860,0.00%
66.50C,Call,0.01,0.0,0.01,24.0,2793.0,0.00%,0,0,0,0,,0.02,0.02,0.01,-0.02,10,0.00%
66.50P,Put,2.33,2.27,2.33,17.0,500.0,0.00%,-1,0,0,0,,3.44,3.44,2.01,-0.91,2330,0.00%
67.00C,Call,0.01,0.0,0.01,59.0,5802.0,0.00%,0,0,0,0,,0.01,0.01,0.01,-0.01,10,0.00%
67.00P,Put,2.5,2.77,2.83,,2284.0,0.00%,-1,0,0,0,,0.0,2.5,2.5,-1.23,2500,0.00%
67.50C,Call,0.01,0.0,0.01,12.0,3215.0,0.00%,0,0,0,0,,0.01,0.01,0.01,-0.01,10,0.00%
67.50P,Put,3.0,3.26,3.33,,534.0,0.00%,-1,0,0,0,,0.0,3.0,3.0,-1.22,3000,0.00%
68.00C,Call,0.01,0.0,0.01,28.0,5994.0,0.00%,0,0,0,0,,0.01,0.01,0.01,-0.01,10,0.00%
68.00P,Put,3.7,3.76,3.83,13.0,4506.0,0.00%,-1,0,0,0,,4.11,4.11,3.7,0.2,3700,0.00%
68.50C,Call,0.01,0.0,0.01,8.0,4015.0,0.00%,0,0,0,0,,0.01,0.01,0.01,-0.01,10,0.00%
68.50P,Put,4.0,4.26,4.32,1.0,175.0,0.00%,-1,0,0,0,,0.0,4.0,4.0,-1.22,4000,0.00%
69.00C,Call,0.01,0.0,0.01,37.0,6095.0,0.00%,0,0,0,0,,0.02,0.02,0.01,-0.01,10,0.00%
69.00P,Put,4.79,4.76,4.82,2.0,1262.0,0.00%,-1,0,0,0,,4.79,4.79,4.79,0.3,4790,0.00%
69.50C,Call,0.01,0.0,0.01,1.0,2353.0,0.00%,0,0,0,0,,0.01,0.01,0.01,0.0,10,0.00%
69.50P,Put,4.99,5.26,5.32,,1329.0,0.00%,-1,0,0,0,,0.0,4.99,4.99,-1.22,4990,0.00%
70.00C,Call,0.01,0.0,0.01,636.0,14237.0,0.00%,0,0,0,0,,0.01,0.01,0.01,0.0,10,0.00%
70.00P,Put,5.58,5.76,5.82,2.0,5861.0,0.00%,-1,0,0,0,,5.46,5.58,5.46,0.09,5580,0.00%
70.50C,Call,0.01,0.0,0.01,234.0,1244.0,0.00%,0,0,0,0,,0.01,0.01,0.01,0.0,10,0.00%
70.50P,Put,5.99,6.26,6.32,,661.0,0.00%,-1,0,0,0,,0.0,5.99,5.99,-1.22,5990,0.00%
71.00C,Call,0.01,0.0,0.01,58.0,3775.0,0.00%,0,0,0,0,,0.01,0.01,0.01,0.0,10,0.00%
71.00P,Put,6.49,6.76,6.82,1.0,3435.0,0.00%,-1,0,0,0,,0.0,6.49,6.49,-1.22,6490,0.00%
71.50C,Call,0.01,0.0,0.01,3.0,2844.0,0.00%,0,0,0,0,,0.0,0.01,0.01,0.0,10,0.00%
71.50P,Put,6.99,7.26,7.32,,62.0,0.00%,-1,0,0,0,,0.0,6.99,6.99,-1.22,6990,0.00%
72.00C,Call,0.01,0.0,0.01,1.0,7717.0,0.00%,0,0,0,0,,0.01,0.01,0.01,0.0,10,0.00%
72.00P,Put,7.49,7.76,7.82,,159.0,0.00%,-1,0,0,0,,0.0,7.49,7.49,-1.22,7490,0.00%
72.50C,Call,0.01,0.0,0.01,3.0,3829.0,0.00%,0,0,0,0,,0.0,0.01,0.01,0.0,10,0.00%
72.50P,Put,7.99,8.26,8.32,,34.0,0.00%,-1,0,0,0,,0.0,7.99,7.99,-1.22,7990,0.00%
73.00C,Call,0.01,0.0,0.01,,2194.0,0.00%,0,0,0,0,,0.0,0.01,0.01,0.0,10,0.00%
73.00P,Put,8.49,8.76,8.82,,17.0,0.00%,-1,0,0,0,,0.0,8.49,8.49,-1.22,8490,0.00%
73.50C,Call,0.01,0.0,0.01,,1907.0,0.00%,0,0,0,0,,0.0,0.01,0.01,0.0,10,0.00%
73.50P,Put,8.99,9.26,9.32,,19.0,0.00%,-1,0,0,0,,0.0,8.99,8.99,-1.22,8990,0.00%
74.00C,Call,0.01,0.0,0.01,6.0,4191.0,0.00%,0,0,0,0,,0.01,0.01,0.01,0.0,10,0.00%
74.00P,Put,9.49,9.76,9.82,,7.0,0.00%,-1,0,0,0,,0.0,9.49,9.49,-1.22,9490,0.00%
