Strike,Type,Last,Bid,Ask,Volume,Open Int,IV,Delta,Gamma,Theta,Vega,Underlying,Open,High,Low,Change,Premium,IV Skew
64.50P,Put,2.51,2.38,2.41,23.0,1612,29.17%,-0.55,0.0767,-0.03,0.07,,2.52,2.79,2.45,0.02,2510,-0.39%
65.00C,Call,1.47,1.45,1.48,273.0,10007,28.25%,0.41,0.0778,-0.04,0.07,,1.5,1.51,1.24,-0.02,1470,-1.31%
65.00P,Put,3.09,2.68,2.72,24.0,9315,33.26%,-0.57,0.0667,-0.04,0.07,,2.93,3.11,2.91,0.3,3090,+3.70%
65.50C,Call,1.28,1.28,1.3,24.0,776,27.50%,0.37,0.0775,-0.04,0.07,,1.27,1.28,1.1,-0.04,1280,-2.06%
65.50P,Put,3.26,3.0,3.05,12.0,387,31.18%,-0.61,0.0694,-0.03,0.07,,2.9,3.26,2.9,0.36,3260,+1.61%
66.00C,Call,1.1,1.12,1.15,83.0,3630,28.90%,0.34,0.0717,-0.04,0.06,,1.1,1.15,0.96,-0.07,1100,-0.66%
66.00P,Put,3.43,3.34,3.39,16.0,1061,28.70%,-0.66,0.0721,-0.03,0.06,,3.26,3.46,3.26,0.2,3430,-0.86%
66.50C,Call,1.01,0.98,1.01,155.0,2812,29.82%,0.31,0.0671,-0.04,0.06,,1.1,1.12,0.98,-0.23,1010,+0.26%
66.50P,Put,3.82,3.7,3.75,,202,29.32%,-0.69,0.068,-0.03,0.06,,0.0,3.82,3.82,0.25,3820,-0.24%
67.00C,Call,0.87,0.86,0.89,871.0,8563,29.04%,0.27,0.065,-0.04,0.06,,0.9,0.92,0.74,-0.04,870,-0.52%
67.00P,Put,3.97,4.07,4.13,1.0,473,25.54%,-0.75,0.0696,-0.02,0.06,,3.97,4.2,3.97,0.04,3970,-4.02%
67.50C,Call,0.69,0.76,0.78,7.0,3428,28.62%,0.24,0.0616,-0.03,0.05,,0.8,0.8,0.69,-0.11,690,-0.94%
67.50P,Put,4.59,4.46,4.53,,206,29.74%,-0.75,0.0605,-0.02,0.06,,0.0,4.59,4.59,0.28,4590,+0.17%
68.00C,Call,0.67,0.66,0.69,69.0,6065,28.46%,0.21,0.0576,-0.03,0.05,,0.66,0.68,0.58,-0.04,670,-1.10%
68.00P,Put,5.0,4.86,4.94,138.0,2517,30.06%,-0.77,0.0565,-0.02,0.05,,0.0,5.0,5.0,0.3,5000,+0.50%
68.50C,Call,0.64,0.58,0.61,31.0,1257,31.49%,0.21,0.0521,-0.04,0.05,,0.77,0.77,0.63,-0.14,640,+1.92%
68.50P,Put,5.42,5.28,5.36,,479,30.39%,-0.79,0.0526,-0.02,0.05,,0.0,5.42,5.42,0.32,5420,+0.83%
