Strike,Type,Last,Bid,Ask,Volume,Open Int,IV,Delta,Gamma,Theta,Vega,Underlying,Open,High,Low,Change,Premium,IV Skew
"3,645.00P",Put,29.9,27.0,27.6,16,194,18.68%,-0.45,0.0045,-2.7,1.85,,21.7,29.9,21.7,9.5,2990,+3.36%
"3,650.00C",Call,25.6,26.2,26.9,309,3653,12.21%,0.54,0.0069,-2.06,1.86,,39.6,41.8,25.6,-34.5,2560,-3.11%
"3,650.00P",Put,23.0,29.3,30.0,37,1725,13.72%,-0.46,0.0062,-1.94,1.86,,32.9,33.6,23.0,-5.8,2300,-1.60%
"3,655.00C",Call,27.5,23.9,24.6,17,1398,16.91%,0.51,0.005,-2.83,1.87,,25.0,31.8,25.0,2.4,2750,+1.59%
"3,655.00P",Put,26.8,32.1,32.9,1,492,14.45%,-0.49,0.0059,-2.05,1.87,,26.8,26.8,26.8,-4.6,2680,-0.87%
"3,660.00C",Call,30.0,21.8,22.4,10,479,17.25%,0.48,0.0049,-2.89,1.87,,30.0,30.0,30.0,7.1,3000,+1.93%
"3,660.00P",Put,36.2,35.0,35.9,44,156,18.11%,-0.52,0.0047,-2.62,1.87,,31.9,41.0,31.9,10.3,3620,+2.79%
"3,665.00C",Call,29.0,19.8,20.4,100,470,17.95%,0.46,0.0047,-3.0,1.86,,30.5,30.5,20.8,-22.0,2900,+2.63%
"3,665.00P",Put,32.0,38.0,38.9,41,179,14.39%,-0.55,0.0059,-2.01,1.85,,42.0,42.0,32.0,-5.1,3200,-0.93%
"3,670.00C",Call,20.0,17.9,18.6,1,532,14.24%,0.42,0.0058,-2.42,1.83,,20.0,20.0,20.0,1.1,2000,-1.08%
"3,670.00P",Put,40.6,41.1,42.0,101,365,17.51%,-0.57,0.0048,-2.48,1.84,,47.2,47.2,34.0,10.5,4060,+2.19%
"3,675.00C",Call,20.4,16.2,16.8,78,1068,15.56%,0.4,0.0053,-2.6,1.81,,19.8,20.4,19.8,3.3,2040,+0.24%
"3,675.00P",Put,50.3,44.3,45.3,28,434,21.21%,-0.57,0.0039,-3.03,1.84,,38.2,50.3,37.2,17.9,5030,+5.89%
"3,680.00C",Call,14.0,14.7,15.2,492,542,12.98%,0.35,0.0061,-2.16,1.73,,27.0,30.3,14.0,-28.8,1400,-2.34%
"3,680.00P",Put,39.1,47.7,48.7,5,107,13.28%,-0.65,0.0059,-1.69,1.73,,39.1,46.7,39.1,4.3,3910,-2.04%
"3,685.00C",Call,13.0,13.1,13.7,72,228,13.36%,0.32,0.0057,-2.17,1.68,,16.2,24.7,13.0,-27.3,1300,-1.96%
"3,685.00P",Put,49.4,51.2,52.2,20,66,17.32%,-0.64,0.0046,-2.31,1.76,,48.7,50.1,48.7,12.1,4940,+2.00%
"3,690.00C",Call,14.5,11.8,12.3,7,684,15.19%,0.32,0.005,-2.42,1.67,,14.4,14.5,14.4,2.1,1450,-0.13%
"3,690.00P",Put,45.1,54.8,55.9,11,289,12.75%,-0.71,0.0057,-1.44,1.59,,61.2,61.2,45.1,5.3,4510,-2.57%
"3,695.00C",Call,11.5,10.5,11.1,156,291,14.25%,0.28,0.005,-2.2,1.58,,13.1,14.1,8.5,-24.0,1150,-1.08%
"3,695.00P",Put,48.8,58.6,59.6,9,100,12.78%,-0.74,0.0054,-1.36,1.51,,48.8,57.4,48.8,6.3,4880,-2.54%
